67.600000	1.197946
67.605003	1.211702
67.610005	1.103272
67.615002	1.120160
67.620004	1.133718
67.625004	1.152521
67.630003	1.171150
67.635004	1.190913
67.640004	1.213502
67.645004	1.237532
67.650004	1.262549
67.655002	1.289994
67.660005	1.323450
67.665004	1.353286
67.670005	1.388321
67.675004	1.429539
67.680007	1.471106
67.685006	1.515959
67.690005	1.566902
67.695006	1.619321
67.700005	1.677926
67.705004	1.742131
67.710006	1.809825
67.715004	1.882491
67.720006	1.959733
67.725005	2.046924
67.730005	2.194063
67.735003	2.291561
67.740005	2.399848
67.745003	2.510791
67.750005	2.637806
67.755003	2.765528
67.760004	2.906587
67.765004	3.050660
67.770003	3.205987
67.775000	3.366570
67.780006	3.539570
67.784988	3.716715
67.790003	3.913033
67.795004	4.104853
67.800005	4.310373
67.805001	4.521745
67.810004	4.745515
67.815001	4.967335
67.820003	5.194452
67.825004	5.420122
67.830003	5.649240
67.835003	5.859994
67.840004	6.060496
67.845003	6.240252
67.850003	6.398322
67.855004	6.508786
67.860005	6.583479
67.865004	6.584096
67.870005	6.699921
67.875002	6.574359
67.880006	6.382236
67.885005	6.150010
67.890004	5.908878
67.895003	5.697494
67.900005	5.546938
67.905003	5.481037
67.910005	5.509112
67.915004	5.625399
67.920004	5.902725
67.925004	6.100779
67.930005	6.287500
67.935004	6.459018
67.940004	6.622597
67.945003	6.782337
67.950005	6.948669
67.955002	7.108704
67.960005	7.263211
67.965004	7.377631
67.970003	7.418279
67.975004	7.368339
67.980003	7.217853
67.985002	6.960958
67.990005	6.604822
67.995003	6.171258
68.000003	5.701216
68.005002	5.200014
68.010002	4.721260
68.015001	4.271206
68.020003	3.921518
68.025002	3.558604
68.030004	3.238033
68.035002	2.950377
68.040004	2.700013
68.045001	2.479931
68.050003	2.279268
68.055001	2.113768
68.060004	2.007267
68.065003	1.876435
68.070004	1.768910
68.075003	1.666117
68.080003	1.583585
68.085004	1.509489
68.090003	1.443734
68.095003	1.387394
